Agency Acronym,Agency Name,Entity type,MMR chapter,Rulemaking Entity,Agency Head First Name,Agency Head Last Name,Agency Contacts,Reports to Deputy Mayor/Executive,Executive Name (from Deputy Mayor/Executive),BC Description,Board/Commission Qualification,BC Source of Authority,Legal Source Link,Agency/Board Website,BC Type,COS Note,Legal Source,Executive Structure,Executive Structure Detail,Mayoral Agency?,Advisory Board?,Legal Source Notes,Charter and Statute,Rules and Regs,Year created,Sources Available (from MO101) copy 2,Core Mission
MOFP,Mayor's Office of Food Policy,Mayoral unit/office,,,Kate,MacKenzie ,"""Kate MacKenzie  (Executive Director,  MOFP)"",""Rachel Atcheson (Deputy Director,  MOFP)"",""Milagros de Hoz (Deputy Director,  MOFP)""",DM Strategic Initiatives,Ana Almanzar,,,,https://codelibrary.amlegal.com/codes/newyorkcity/latest/NYCcharter/0-0-0-5512,https://www1.nyc.gov/site/foodpolicy/index.page?msclkid=86792869bc1b11ecad2c450a461c6bd1,,,"Charter Chapter 1, Section 20-i","""Single Agency Head (commissioner, exec director, administrator)""",,Yes,No,,,,,"EO, Admin law","The Mayor’s Office of Food Policy was codified in the City Charter in 2020.  The Office’s mission is to advance the City’s efforts to increase food security, promote access to and consumption of healthy foods, and support economic opportunity and environmental sustainability in the food system. "
MOIA,Mayor's Office of Immigrant Affairs,Mayoral unit/office,,,Manuel,Castro ,"""Manuel Castro  (Commissioner,  MOIA)"",""Jasniya Sanchez (Deputy Chief of Staff,  MOIA)""",DM Health & Human Services,Anne Williams-Isom,,,,https://codelibrary.amlegal.com/codes/newyorkcity/latest/NYCcharter/0-0-0-182,https://www1.nyc.gov/site/immigrants/index.page,,,"Charter Chapter 1, Section 18","""Single Agency Head (commissioner, exec director, administrator)""",,Yes,No,,,,,"Admin law, Work chart","'- The NYC Mayor's Office of Immigrant Affairs (MOIA) work recognizes that immigrant New Yorkers and their children make up a significant proportion of the City's population.  
- Our charter-mandated responsibilities include advising and assisting the mayor, council, and other agencies on programs and policies related to and designed for immigrant New Yorkers; tracking state and federal policy and law that will impact immigrant New Yorkers; increasing access to city programs, benefits, and services by conducting outreach; and helping advise on the legal service needs of immigrants.  
- MOIA is also required to consult with the community and other stakeholders and coordinate an interagency task force on immigrant affairs. MOIA is also tasked to work with the relevant city agencies to address the needs of immigrant crime victims and witnesses, including by working with agencies on the issuance of U visa certifications and T visa declarations.  "
MOME,Mayor's Office of Media and Entertainment,Mayoral unit/office,,checked,Patricia,Kaufman,"""Patricia Kaufman (Commissioner,  MOME)"",""Tiana Guzman (Executive Assistant,  MOME)"",""Lori Barrett-Peterson (Chief Operating Officer,  MOME)"",""Jennifer Lenihan (Senior Advisor,  MOME)""",DM Housing - Economic Development & Workforce,Maria Torres-Springer,,,,https://www1.nyc.gov/assets/records/pdf/executive_orders/2010EO138.pdf,https://www1.nyc.gov/site/mome/index.page,,,EO 138 2010,"""Single Agency Head (commissioner, exec director, administrator)""","The commissioner of MOME reports to the Deputy Mayor for Economic Development and work closely 
with the commissioner of DOITT on administrative and operational priorities and policies. ",Yes,No,,,,2010,"EO, Rules, Work chart","Pursuant to Executive Order 21, issued July 21, 2022, The Mayor’s Office of Media and Entertainment (MOME) oversees the “uniform operation of the City’s diverse media and entertainment functions… coordinating a range of media-and entertainment-related responsibilities under one [agency]” and consists of: 
1. the Film Office, which issues permits for premiere entertainment events and on-location media production throughout the five boroughs, consistent with Title 43, Chapters 8 and 9 of the Rules of the City of New York;
2. NYC Media, the official media group and broadcast and cable network of the City of New York;
3.	the Office of Nightlife, which “serves as a central point of contact among City agencies, the nightlife industry, and New York City residents, promoting a safe and vibrant nightlife scene beneficial to businesses and residents across the five boroughs” in accordance with Local Law No. 178 of 2017;
4.	the Press Credentials Office, which issues press credentials in accordance with section 3-119.4 of the Administrative Code; and 
5.	the Creative Sector Programs Office, which “contribute[s]to the support and strengthening of New York City’s creative economy, including but not limited to the sectors of film, television, theatre, music, digital content production and distribution, advertising, and publishing (the “creative sectors”), as well as real estate as it relates to the creative sectors, and in connection with such work.”"
MONS,Mayor's Office for Nonprofit Services,Mayoral unit/office,,,,,,DM Strategic Initiatives,Ana Almanzar,,,,,,,,,,,,,,,,,,
MOPD,Mayor's Office for People with Disabilities,Mayoral unit/office,,,Christina,Curry,"""Christina Curry (Commissioner,  MOPD)"",""Sara Rawshanara (Chief of Staff,  MOPD)"",""Emily Sweet (Deputy Commissioner and General Counsel,  MOPD)"",""Asma Quddus (Executive Assistant,  MOPD)""",Chief Counsel to the Mayor,Allison Stoddart,,,,https://www1.nyc.gov/site/mopd/about/executive-order-no-17-september-7-1990.page,https://www1.nyc.gov/site/mopd/index.page,,,EO 17 1990,"""Single Agency Head (commissioner, exec director, administrator)""",The office reports to and is directly accountable to the First Deputy Mayor. It is headed by a Director  who is appointed by and serves at the pleasure of the Mayor.,Yes,No,,,,1990,EO,"1.	In conjunction with all other City agencies and offices, develop and coordinate City policies relating to all people with disabilities, and oversee the implementation of such policies; 
2.	Act as an advocate for the rights and needs of all people with disabilities; 
3.	Facilitate communication among people with disabilities, the Mayor, public and private agencies, and the community at large; 
4.	Propose City, State, and Federal legislation to address the needs of people with disabilities;
5.	Monitor the City’s compliance with laws concerning the human and civil rights of people with disabilities and work with the appropriate City and non-City entities to rectify issues; 
6.	Coordinate and analyze existing City programs for people with disabilities, develop and promote additional programs, and act as the liaison between the City and public and private agencies, organizations and individuals in the development of programs affecting people with disabilities; 
7.	Oversee the Disability Service Facilitator (DSF) program and coordinate with the DSFs of all City agencies to ensure that they fulfill their responsibilities as set forth in Local Law 27 of 2016; 
8.	Coordinate with the Department of Information Technology and Telecommunication, and all other City agencies and offices, on making City websites and digital products accessible to individuals with disabilities; 
9.	With the cooperation of all other City agencies and offices, develop strategies to increase employment of people with disabilities within City government, and work with outside stakeholders to encourage increased employment of people with disabilities by non-City entities; 
10.	Produce an annual public AccessibleNYC report on the City’s current and planned initiatives, programs, and services for people with disabilities; 
11.	With the cooperation of the Department of City Planning and all other City agencies and offices, compile demographic and statistical data regarding the number of people with disabilities within New York City; 
12.	In coordination with the Mayor’s Office of International Affairs and all other City agencies and offices, promote the City’s interests in relation to people with disabilities with public and private stakeholders around the world; 
13.	Assist people with disabilities through the provision of information and referral services, and by facilitating the resolution of complaints concerning services and the administrative actions of City agencies and others; and 
14.	Locate and utilize funding sources, both public and private, in order to assist in the implementation of the provisions of this Order."
MOPGV,Mayor's Office to Prevent Gun Violence,Mayoral unit/office,,,,,,DM Public Safety,Chauncey Parker,,,,https://codelibrary.amlegal.com/codes/newyorkcity/latest/NYCcharter/0-0-0-5804,https://www1.nyc.gov/site/peacenyc/index.page,,,"Charter Chapter 1, Section 13-F","""Single Agency Head (commissioner, exec director, administrator)""",,Yes,No,,,,,,"Transform government’s approach to public safety and justice around an understanding of historic root causes of inequity, the need for healing rather than punishment, and respect for the deep knowledge and strength that resides in communities most affected by a myriad of institutions and systems, including the justice system:
… to participate in the creation of safe, vibrant, empowered, and interconnected communities in New York City, and
… to bolster a sense of community ownership of solutions for the problems associated with justice system involvement, heightened risk of trauma, and structural disinvestment, particularly within communities of color."
MOPI,Mayor's Office of Pensions and Investments,Mayoral unit/office,,,,,,First Deputy Mayor,Maria Torres-Springer,,,,,,,,,,,,,,,,,,"- MOPI represents the Mayor and the Finance Commissioner on the boards of the four NYC pension funds on which they have seats, as well as the Deferred Compensation Plan and related funds.
- It serves as point for pension issues for City Hall and the Department of Finance. These issues include investment policy initiatives, disability pension issues, legislative proposals, pension fund budgets, engagement with the Chief Actuary, and interactions with pension fund trustees and staff, the Law Department pension fund lawyers, and the Comptroller’s Bureau of Asset Management.
- MOPI staff serve as fiduciaries of the pension funds on whose boards they sit. MOPI is a Mayoral agency, but the pension funds are not, as each is each governed by its own board of trustees."
MOPP,Mayor's Office of Policy and Planning,Mayoral unit/office,,,Betsy,MacClean,"""Betsy MacClean (Chief Policy and Innovation Officer,  MOPP)"",""Marc Heinrich (Senior Advisor, Policy & Planning,  MOPP)""",First Deputy Mayor,Maria Torres-Springer,,,,,,,,,"""Single Agency Head (commissioner, exec director, administrator)""",,Yes,No,,,,2017,,"MOPP plays a key role in developing the strategic direction of long-term policy and planning for NYC, overseeing policy development in key areas of the Mayor’s wide-ranging policy portfolio. Essential services include, but are not limited to: formulating policy recommendations on all matters concerning the MTA, from congestion pricing to budgetary priorities to mobility initiatives; managing the capital process reform task force and delivering recommendations to build public projects better, faster, cheaper; negotiating project labor agreements with the construction trades; overseeing the the first increase in the Earned Income Tax Credit in 20 years; overseeing two tax incentives designed to spur action by the private sector in creating new childcare seats; development of new policy upon request such as a proposal to increase crime victim benefits."
MOPT,Mayor's Office to Protect Tenants,Mayoral unit/office,,,,,,DM Housing - Economic Development & Workforce,Maria Torres-Springer,,,,https://www1.nyc.gov/assets/home/downloads/pdf/executive-orders/2019/eo-39.pdf,https://www1.nyc.gov/content/tenantprotection/pages/,,,EO 39 2019,"""Single Agency Head (commissioner, exec director, administrator)""",,Yes,No,,,,2019,EO,"The Mayor’s Office to Protect Tenants (MOPT) shall coordinate the work of the City to protect the rights of tenants in New York City.

The Office shall be responsible of:
- Serving as central resource for tenants, social service agencies, advocacy organizations, legal service providers, landlords and management companies of affordable housing, and others on tenant issues;
- Coordinating tenants, social service agencies, advocacy organizations, legal service providers, landlords and management companies of affordable housing, and others to address issues of tenant harassment; and
- Leading outreach and education on anti-harassment initiatives."
MORMC,Mayor's Office Risk Management & Compliance,Mayoral unit/office,,,Jean-Claude,LeBec,"""Steven Kaiser (Chief of Staff / Deputy Director,  MORMC)"",""Jean-Claude LeBec (Director,  MORMC)""",Chief Counsel to the Mayor,Allison Stoddart,,,,,,,,EO,,,,,,,,2023,,"The Mayor's Office of Risk Management and Compliance (MoRMC) assists the Mayor to carry out his responsibilities pursuant to Charter Ch 1, Sec 8 (a) for the ""effectiveness and integrity of city government operations and [the] establish[ment] ... [of] such policies and procedures as are necessary and appropriate to accomplish this responsibility including the implementation of effective systems of internal control by each agency and unit under the jurisdiction of the Mayor."" In this capacity, MoRMC works on behalf of the Mayor with individual City agencies to create and enhance risk management and compliance programs; develop tools to flag programmatic and operational risks; coordinate risk management activities among and between individual agencies; promulgate relevant standards and guidelines; and undertakes inquiries and analyses related to potential risk."
MOSPCE,Mayor's Office of Special Projects and Community Events,Mayoral unit/office,,,Trey,Moynihan,"""Trey Moynihan (Executive Director,  MOSPCE)"",""Jayson Littman (Director,  MOSPCE)""",Mayor's Chief of Staff,Camille Joseph-Varlack,,,,https://www1.nyc.gov/assets/records/pdf/executive_orders/1997EO036.PDF,https://www1.nyc.gov/site/mospce/index.page,,,EO 36 1997 ,"""Single Agency Head (commissioner, exec director, administrator)""","The office has an executive director, two directors, three managers, and three coordinators. ",Yes,No,,,,1997,,"'- In support of the Mayor and First Lady's commitment to honor the diverse communities of our City, the Mayor's Office of Special Projects and Community Events (MOSPCE) organizes, manages and directs Mayoral public ceremonies, celebrations and receptions, in partnership with city agencies and with the support of the private sector. These special events are hosted at Gracie Mansion – also known as the People's House – and other iconic sites across the City.
- MOSPCE’s events ensure that the various populations in NYC feel represented. In addition to traditional and annual events MOSPCE also works with the Mayor and First Lady’s teams to add new events that meet new initiatives or in response to current affairs."
