Name,NameAlphabetized,Name - CPO,Name - Checkbook,Name - Greenbook,Name - HOO,Name - NYC Open Data Portal,Name - NYC.gov Agency List,Name - NYC.gov Mayor's Office,Name - ODA,Name - Ops,Name - WeGov,OperationalStatus,PreliminaryOrganizationType,Description,URL,ParentOrganization,NYCReportingLine,AuthorizingAuthority,LegalCitation,LegalCitationURL,LegalCitationText,LegalName,AlternateNames,Acronym,AlternateAcronyms,BudgetCode,PrincipalOfficerName,PrincipalOfficerTitle,OpenDatasetsURL,Notes,FoundingYear,SunsetYear,URISlug,DateCreated,DateModified,LastVerifiedDate,NameWithAcronym,NameAlphabetizedWithAcronym,PrincipalOfficerGivenName,PrincipalOfficerFamilyName,NameNormalized,RecordID,Agency Name,Entity type,source,HeadOfOrganizationName,HeadOfOrganizationTitle,PrincipalOfficerContactURL,merged_from,data_source
Cabinet for Older New Yorkers,Cabinet for Older New Yorkers,,,,,,,,,,,Active,"Advisory, Oversight, or Regulatory Body",,,Department for the Aging,Department for the Aging,New York City Charter,"Chapter 66, Section 2405",https://codelibrary.amlegal.com/codes/newyorkcity/latest/NYCcharter/0-0-0-7224,There shall be a cabinet for older New Yorkers. The cabinet shall meet at least once quarterly.,,,,,,,,,,2022.0,,cabinet-for-older-new-yorkers,2024-07-29,,,Cabinet for Older New Yorkers,Cabinet for Older New Yorkers,,,cabinet older new yorkers,REC_000023,,,,,,,,nyc_agencies_export
Campaign Finance Board,Campaign Finance Board,Campaign Finance Board,Campaign Finance Board,Campaign Finance Board,Campaign Finance Board (CFB),Campaign Finance Board (CFB),Campaign Finance Board (CFB),Campaign Finance Board (CFB),Campaign Finance Board (CFB),Campaign Finance Board,Campaign Finance Board,Active,"Advisory, Oversight, or Regulatory Body","The Campaign Finance Board administers the City Campaign Finance Program, publishes the City Voter Guide, and implements the debate requirement for candidates running for Mayor, Comptroller, and Public Advocate.",http://www.nyccfb.info/,,Independent,New York City Charter,"Chapter 46, Section 1052",https://codelibrary.amlegal.com/codes/newyorkcity/latest/NYCcharter/0-0-0-2913,"There shall be a campaign finance board consisting of five members. Two members of the board shall be appointed by the mayor, provided that not more than one such member shall be enrolled in any one political party, and two members shall be appointed by the speaker of the council, provided that not more than one such member shall be enrolled in any one political party, and one member, who shall be the chairperson, shall be appointed by the mayor after consultation with the speaker. The members shall first be appointed to serve as follows: (a)   one member appointed by the speaker for a term of one year; (b)   one member appointed by the mayor for a term of two years; (c)   one member appointed by the speaker for a term of three years; (d)   one member appointed by the mayor for a term of four years; and (e)   the chairperson for a term of five years.",,,CFB,,4.0,Frederick Schaffer,Chair,https://data.cityofnewyork.us/browse?Dataset-Information_Agency=Campaign+Finance+Board+%28CFB%29,,1988.0,,campaign-finance-board,2024-07-29,,,Campaign Finance Board (CFB),Campaign Finance Board (CFB),Frederick,Schaffer,campaign finance board,OPS_000193,Campaign Finance Board,Board/Commission,ops,Frederick Schaffer,Chair,http://www.nyccfb.info/about/contact,"[{'id': 'HOO_000018', 'name': 'Campaign Finance Board (CFB)', 'score': None}]",ops
Cannabis Advisory Council,,,,,,,,,,Cannabis Advisory Council,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cannabis advisory council,OPS_000178,Cannabis Advisory Council,Board/Commission,ops,,,,,ops
Caribbean Advisory Council,,,,,,,,,,Caribbean Advisory Council,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,caribbean advisory council,OPS_000176,Caribbean Advisory Council,Board/Commission,ops,,,,,ops
Catskill Watershed Corporation ,,,,,,,,,,Catskill Watershed Corporation ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,catskill watershed corporation,OPS_000212,Catskill Watershed Corporation ,Board/Commission,ops,,,,,ops
Center for Brooklyn History,,,,,,,,,,Center for Brooklyn History (formerly known Brooklyn Historical Society),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,center brooklyn history,OPS_000163,Center for Brooklyn History (formerly known Brooklyn Historical Society),Board/Commission,ops,,,,,ops
Center for Innovation through Data Intelligence,Center for Innovation through Data Intelligence,Center for Innovation through Data Intelligence,,,Center for Innovation through Data Intelligence (CIDI),,Center for Innovation through Data Intelligence (CIDI),Center for Innovation through Data Intelligence (CIDI),Center for Innovation through Data Intelligence (CIDI),Center for Innovation through Data Intelligence,Center for Innovation through Data Intelligence,Active,Mayoral Office,"The Center for Innovation through Data Intelligence (CIDI) is a data intelligence team in the Office of the Deputy Mayor for Health and Human Services (HHS), Office of the Mayor, who establishes partnerships that can leverage the analytical resources of the City of New York through an innovative inter-agency research agenda. This position affords CIDI greater access to data and ensures persons’ confidentiality in its research activities.   ",http://www.nyc.gov/cidi,Mayor's Office,Deputy Mayor for Strategic Initiatives,Mayor's Office,,,,,,CIDI,,,Maryanne Schretzman,Executive Director,,,2011.0,,center-for-innovation-through-data-intelligence,2024-07-29,,,Center for Innovation through Data Intelligence (CIDI),Center for Innovation through Data Intelligence (CIDI),Maryanne,Schretzman,center innovation through data intelligence,OPS_000016,Center for Innovation through Data Intelligence,Mayoral unit/office,ops,Maryanne Schretzman,Executive Director ,https://www.nyc.gov/site/cidi/contact/contact.page,"[{'id': 'HOO_000019', 'name': 'Center for Innovation through Data Intelligence (CIDI)', 'score': None}]",ops
Central Park Conservancy,,,,,,,,,,Central Park Conservancy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,central park conservancy,OPS_000192,Central Park Conservancy,Board/Commission,ops,,,,,ops
Chancellor,,,,,,,,,,Chancellor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,chancellor,OPS_000087,Chancellor,Agency,ops,,,,,ops
Charter Revision Commission,Charter Revision Commission,,,,Charter Revision Commission,,Charter Revision Commission,Charter Revision Commission,Charter Revision Commission (CRC),Charter Revision Commission,,Active,"Advisory, Oversight, or Regulatory Body","This site is up for historical purposes only. The Charter Revision Commission is charged with reviewing the entire Charter of the City of New York, holding hearings in all five boroughs to solicit public input, and issuing a report outlining findings and recommendations to amend or revise the Charter.",https://www.nyc.gov/site/charter/index.page,,Independent,New York State Law,"Chapter 36-A, Article 4, Part 2, Section 36",https://www.nysenate.gov/legislation/laws/MHR/36,Provisions for adoption of new or revised city charter proposed by a charter commission. 1. A local law providing a new or revised city charter also may be adopted in any city pursuant to the provisions of this section.,,,CRC,,,,Chair,,,,,charter-revision-commission,2024-07-29,,,Charter Revision Commission (CRC),Charter Revision Commission (CRC),,,charter revision commission,OPS_000201,Charter Revision Commission,Board/Commission,ops,Carlo Scissura or Diane Savino as ED,Chair,Non-existant,"[{'id': 'HOO_000020', 'name': 'Charter Revision Commission', 'score': None}]",ops
Chief Advisor to the Mayor,"Mayor, Chief Advisor to the",Chief Advisor to the Mayor,,,Mayor's Office - Chief Advisor to the Mayor,,,Office of the Chief Advisor to the Mayor,,Chief Advisor to the Mayor,,Active,Mayoral Office,,,Mayor's Office,Mayor's Office,Press Release,"January 10, 2022 Press Release",https://a860-gpp.nyc.gov/concern/nyc_government_publications/8k71nm387?locale=en,Mayor Eric Adams announces former deputy Brooklyn borough president Chaplain Ingrid Lewis-Martin as the new Chief Advisor to the Mayor.,,,,,,,Chief Advisor to the Mayor,,,2022.0,,chief-advisor-to-the-mayor,2024-07-29,,,Chief Advisor to the Mayor,"Mayor, Chief Advisor to the",,,chief advisor mayor,OPS_000000,Chief Advisor to the Mayor,Executive,ops,Ingrid Lewis-Martin ,Chief Advisor to the Mayor,https://www.nyc.gov/office-of-the-mayor/mayor-contact.page,"[""OPS_000000"", ""REC_000103""]",ops
Chief Climate Officer,Chief Climate Officer,,,,,,,,,Chief Climate Officer,,Active,Mayoral Office,,,Mayor's Office,First Deputy Mayor,Mayoral Executive Order,"Executive Order 29, 2023",https://a860-gpp.nyc.gov/concern/nyc_government_publications/pc289n032?locale=en,"there shall be six Deputy Mayors, a Chief Housing Officer, Chief Technology Officer, Chief Efficiency Officer, Chief of Staff, Chief Advisor, Chief Counsel to the Mayor, Dir. of Intergovernmental; etc.",,,,,,,,,,2022.0,,chief-climate-officer,2024-07-29,,,Chief Climate Officer,Chief Climate Officer,,,chief climate officer,OPS_000012,Chief Climate Officer,Mayoral unit/office,ops,,,,,ops
Chief Efficiency Officer,"Efficiency, Mayor's Office of",Mayor's Office of Efficiency,,,Mayor's Office - Chief Efficiency Officer,,,,Mayor's Office of Efficiency,Chief Efficiency Officer,,Active,Mayoral Office,,,Mayor's Office,First Deputy Mayor,Mayoral Executive Order,"Executive Order 13, 2022",https://a860-gpp.nyc.gov/concern/nyc_government_publications/6d570023t?locale=en,"Executive Order No. 13 dated April 6, 2022 Chief Efficiency Officer and Reporting of Efficiency Metrics relates to improving effectiveness, productivity and efficiency in government operations provided in the Mayor's Management Report (MMR).",,,,,2.0,,,,,2022.0,,mayors-office-of-efficiency,2024-07-29,,,Mayor's Office of Efficiency,"Efficiency, Mayor's Office of",,,chief efficiency officer,OPS_000014,Chief Efficiency Officer,Mayoral unit/office,ops,Denise C. Clay,Chief Efficiency Officer,https://www.nyc.gov/office-of-the-mayor/mayor-contact.page,"[""OPS_000014"", ""REC_000123"", ""REC_000105""]",ops
Chief Housing Officer,Chief Housing Officer,Chief Housing Officer,,,Mayor's Office - Chief Housing officer (Resigned in July),,,Office of the Chief Housing Officer,,,,Active,Mayoral Office,,,Mayor's Office,Mayor's Office,Mayoral Executive Order,"Executive Order 29, 2023",https://a860-gpp.nyc.gov/concern/nyc_government_publications/pc289n032?locale=en,"there shall be six Deputy Mayors, a Chief Housing Officer, Chief Technology Officer, Chief Efficiency Officer, Chief of Staff, Chief Advisor, Chief Counsel to the Mayor, Dir. of Intergovernmental; etc.",,,,,,,Chief Housing Officer,,,2022.0,2023.0,chief-housing-officer,2024-07-29,,,Chief Housing Officer,Chief Housing Officer,,,chief housing officer,REC_000024,,,,Jessica Katz ,Chief Housing officer (Resigned in July),https://www.nyc.gov/office-of-the-mayor/mayor-contact.page,"[""REC_000024"", ""REC_000106""]",nyc_agencies_export
Chief Technology Officer,Chief Technology Officer,,,,,,,,,,,Active,Mayoral Office,,,Mayor's Office,First Deputy Mayor,Mayoral Executive Order,"Executive Order 29, 2023",https://a860-gpp.nyc.gov/concern/nyc_government_publications/pc289n032?locale=en,"there shall be six Deputy Mayors, a Chief Housing Officer, Chief Technology Officer, Chief Efficiency Officer, Chief of Staff, Chief Advisor, Chief Counsel to the Mayor, Dir. of Intergovernmental; etc.",,,,,,,,,,2014.0,,chief-technology-officer,2024-07-29,,,Chief Technology Officer,Chief Technology Officer,,,chief technology officer,REC_000026,,,,,,,,nyc_agencies_export
Child Care Advisory Board,Child Care Advisory Board,,,,,,,,,Child Care Advisory Board,,Active,"Advisory, Oversight, or Regulatory Body",,,,Independent,New York City Charter,"Chapter 24-B, Section 620",https://codelibrary.amlegal.com/codes/newyorkcity/latest/NYCcharter/0-0-0-6542,"Board established. There is hereby established a child care advisory board. 1.   The board shall be comprised of the following members: (a)   The commissioner of health and mental hygiene, or such commissioner's designee; (b)   The commissioner of the administration for children's services, or such commissioner's designee; (c)   The chancellor of the city school district, or such chancellor's designee; (d)   One member to be appointed by the mayor; (e)   One member to be appointed by the speaker of the council; (f)   One member to be appointed by the comptroller; (g)   One member to be appointed by the public advocate; and (h)   Such other members as deemed necessary by the mayor, who shall also be appointed by such mayor.",,,,,,,,,,2022.0,,child-care-advisory-board,2024-07-29,,,Child Care Advisory Board,Child Care Advisory Board,,,child care advisory board,OPS_000182,Child Care Advisory Board,Board/Commission,ops,,,,,ops
