Name,NameAlphabetized,Name - HOO,URL,Description,PrincipalOfficerName,PrincipalOfficerTitle,ParentOrganization,AlternateNames,Acronym,AlternateAcronyms,BudgetCode,OpenDatasetsURL,FoundingYear,Name - Checkbook,Name - Greenbook,Name - NYC Open Data Portal,Name - NYC.gov Agency List,Name - NYC.gov Mayor's Office,Name - Ops,Name - WeGov
Site Safety Training Task Force,,,,,,,,,,,,,,,,,,,Site Safety Training Task Force,
Small Business Advisory Commission,,,,,,,,,,,,,,,,,,,Small Business Advisory Commission,
Soil and Water Conservation District ,,,,,,,,,,,,,,,,,,,Soil and Water Conservation District ,
Special Commissioner of Investigation for the New York City School District,"New York City School District, Special Commissioner of Investigation for the",Special Commissioner of Investigation for the New York City School District,,,,,Department of Education,,,,,,1990.0,,,,,,Special Commissioner of Investigation for the NYC School District,
"Sports, Wellness, & Recreation Advisory Board",,,,,,,,,,,,,,,,,,,"Sports, Wellness, & Recreation Advisory Board",
State Fire Prevention and Building Code Council,,,,,,,,,,,,,,,,,,,State Fire Prevention and Building Code Council,
Street Harassment Prevention Advisory Board,,,,,,,,,,,,,,,,,,,Street Harassment Prevention Advisory Board,
Street Vendor Advisory Board,,,,,,,,,,,,,,,,,,,Street Vendor Advisory Board,
Sustainability Advisory Board (Formerly OneNYC),,,,,,,,,,,,,,,,,,,Sustainability Advisory Board (Formerly OneNYC),
Task Force on African American Civil Rights History Museum ,,,,,,,,,,,,,,,,,,,Task Force on African American Civil Rights History Museum ,
"Task Force on Monuments, Statues, Public Art and Historical Markers",,,,,,,,,,,,,,,,,,,"Task Force on Monuments, Statues, Public Art and Historical Markers",
Taskforce on Racial Inclusion and Equity,"Racial Inclusion and Equity, Taskforce on",,https://www.nyc.gov/site/trie/index.page,,,,,,TRIE,,,,2020.0,,,,,,,
Tax Appeals Tribunal,Tax Appeals Tribunal,"Tax Appeals Tribunal, New York City (TAT)",http://www.nyc.gov/tat,The Tax Appeals Tribunal is an independent agency that resolves disputes between taxpayers and the New York City Department of Finance involving taxes administered by the City of New York. The Tax Appeals Tribunal does not resolve disputes related to the New York City Real Property Tax.,Frances Henn,President and Commissioner,Office of Administrative Tax Appeals,,TAT,,,,1988.0,,,,"Tax Appeals Tribunal, New York City (TAT)","Tax Appeals Tribunal, New York City (TAT)",Tax Appeals Tribunal,Tax Appeals Tribunal
Tax Commission,Tax Commission,"Tax Commission, New York City (TC)",https://www1.nyc.gov/site/taxcommission/index.page,The Tax Commission is the City of New York's forum for independent administrative review of real property tax assessments set by the Department of Finance. The Tax Commission reviews and determines annual applications for correction of assessment filed by owners and other parties with sufficient legal interest in properties which they claim are incorrectly assessed or improperly denied an exemption from real property tax.,Frances Henn,President,Office of Administrative Tax Appeals,,TC,,,https://data.cityofnewyork.us/browse?Dataset-Information_Agency=New+York+City+Tax+Commission+%28TAXCOMM%29,1993.0,,,New York City Tax Commission (TAXCOMM),"Tax Commission, New York City (TC)","Tax Commission, New York City (TC)",Tax Commission,New York City Tax Commission
Taxi and Limousine Commission,Taxi and Limousine Commission,Taxi and Limousine Commission (TLC),http://www.nyc.gov/tlc,"The TLC was created in 1971, and is the agency responsible for the regulation and licensing of 200,000 yellow medallion taxicabs and for-hire vehicles, their drivers & their supporting businesses.",David Do,Commissioner,Mayor's Office,,TLC,,156.0,https://data.cityofnewyork.us/browse?Dataset-Information_Agency=Taxi+and+Limousine+Commission+%28TLC%29&,1971.0,NYC Taxi and Limousine Commission,Taxi & Limousine Commission,Taxi and Limousine Commission (TLC),Taxi and Limousine Commission (TLC),Taxi and Limousine Commission (TLC),Taxi & Limousine Commission,Taxi & Limousine Commission
Teachers' Retirement System Pension Fund Board of Trustees,,,,,,,,,,,,,,,,,,,Teachers' Retirement System Pension Fund Board of Trustees,
Temporary Commercial Incentive Area Boundary Commission,,,,,,,,,ICAP,,,,,,,,,,Temporary Commercial Incentive Area Boundary Commission (ICAP),
Temporary Task Force on Post-Incarceration Reentry for Older Adults,,,,,,,,,,,,,,,,,,,Temporary Task Force on Post-Incarceration Reentry for Older Adults,
Temporary Task Force to Review Tax Lien Sales,,,,,,,,,,,,,,,,,,,Temporary Task Force to Review Tax Lien Sales,
Theater Subdistrict Council Local Development Corporation,,,,,,,,,,,,,,,,,,,Theater Subdistrict Council Local Development Corporation,
Three Quarter Housing Task Force,,,,,,,,,,,,,,,,,,,Three Quarter Housing Task Force,
Times Square Alliance,Times Square Alliance,,https://www.timessquarenyc.org/,,,,,,TSA,,,,1992.0,,,,,,,
Tobacco Settlement Asset Securitization Corporation,,,,,,,,,,,,,,,,,,,Tobacco Settlement Asset Securitization Corporation,
Traffic Mobility Review Board,,,,,,,,,,,,,,,,,,,Traffic Mobility Review Board (aka Congestion Pricing),
Transportation of Students in Temporary Housing Task Force,,,,,,,,,,,,,,,,,,,Transportation of Students in Temporary Housing Task Force,
Trust for Cultural Resources,,,,,,,,,,,,,,,,,,,Trust for Cultural Resources,
Trust for Governors Island,Trust for Governors Island,"Governors Island, Trust for",https://www.govisland.com/about/the-trust-for-governors-island,"The Trust for Gov­er­nors Island is the 501(c)(3) non-prof­it orga­ni­za­tion cre­at­ed by the City of New York respon­si­ble for the plan­ning, oper­a­tions and ongo­ing devel­op­ment of Gov­er­nors Island. The Trust’s mis­sion is to real­ize the full poten­tial of Gov­er­nors Island for the inspi­ra­tion and enjoy­ment of all New York­ers, demon­strat­ing a bold vision for pub­lic space.",Clare Newman,President and CEO,,,,,,,2003.0,,"Governors Island, Trust for",,"Governors Island, Trust for","Governors Island, Trust for",Trust for Governors Island,
"TSASC, Inc.","TSASC, Inc.","TSASC, Inc",http://www.nyc.gov/tsasc,"TSASC, Inc. is a local development corporation created as a financing entity whose purpose is to issue and sell bonds and notes to fund a portion of the capital program of the City of New York. TSASC issued debt secured by tobacco settlement revenues.",,President,,,,,,,2007.0,,,,"TSASC, Inc.","TSASC, Inc.",,
Union Square Partnership,Union Square Partnership,,https://www.unionsquarenyc.org/,,,,,,,,,,1980.0,,,,,,,
United Nations Development Corporation,United Nations Development Corporation,,https://undc.org/,,,,,,,,,,1968.0,,United Nations Development Corporation,,,,United Nations Development Corporation,
Unity Project,Unity Project,,https://www.nyc.gov/content/unityproject/pages/,,,,Mayor's Office of Equity and Racial Justice,,UP,,,,2017.0,,,,,,The Unity Project,Unity Project
Urban Agricultural Advisory Board,,,,,,,,,,,,,,,,,,,Urban Agricultural Advisory Board,
Vehicle Removal Task Force,,,,,,,,,,,,,,,,,,,Vehicle Removal Task Force,
Veterans Advisory Board,,,,,,,,,,,,,,,,,,,Veterans Advisory Board,
The Village Alliance,The Village Alliance,,https://greenwichvillage.nyc/,,,,,,,,,,1993.0,,,,,,,
Voter Assistance Advisory Committee,Voter Assistance Advisory Committee,,,,,,,,,,,,2010.0,,,,,,Voter Assistance Advisory Committee,
Water Board,"Water Board, New York City",Water Board (NYWB),http://www.nyc.gov/nycwaterboard,"

The New York City Water Board’s mission is to establish rates for and distribute the collected revenues of the Water and Sewer System (the ""System"") of the City of New York, proactively considering the optimal level to achieve efficient financing of the System’s infrastructure and sustainable provision of high-quality service at a fair price to our customers.",Alfonso Carney,Chair,,,NYWB,,,,1905.0,,,,Water Board (NYWB),Water Board (NYWB),Water Board,New York City Water Board
Waterfront Management Advisory Board,,,,,,,,,,,,,,,,,,,Waterfront Management Advisory Board,
Workforce Development Board,,,,,,,,,,,,,,,,,,,Workforce Development Board,
Workforce Development Council,,,,,,,,,,,,,,,,,,,Workforce Development Council,
Workplace Health and Safety Guidance Review Board,,,,,,,,,,,,,,,,,,,Workplace Health and Safety Guidance Review Board,
World Trade Center Captive Insurance Company,,,,,,,,,,,,,,,,,,,World Trade Center Captive Insurance Company,
World Trade Center Memorial Foundation,,,,,,,,,,,,,,,,,,,World Trade Center Memorial Foundation,
World Trade Center Performing Arts Center,,,,,,,,,,,,,,,,,,,World Trade Center Performing Arts Center,
Young Future Leaders Advisory Board,,,,,,,,,,,,,,,,,,,Young Future Leaders Advisory Board,
Young Men's Initiative,Young Men's Initiative,NYC Young Men's Initiative,http://www.nyc.gov/ymi,"The NYC Young Men’s Initiative (YMI) is a cross-agency enterprise that is culmination of 18 months of work, begun when New York City committed to finding new ways to tackle the crisis affecting its young Black and Latino men. The City pledged to invest a combination of public and private funds to support new programs and policies designed to address disparities between young Black and Latino men and their peers across numerous outcomes related to education, health, employment and the criminal justice system.",,Executive Director,Mayor's Office of Equity and Racial Justice,,YMI,,,,2011.0,,,,NYC Young Men’s Initiative,NYC Young Men’s Initiative,Young Men's Initiative,Young Men’s Initiative
Young Men's Initiative Advisory Board,,,,,,,,,,,,,,,,,,,Young Men's Initiative Advisory Board,
Youth Board,Youth Board,,,,,,Department of Youth and Community Development,,,,,,1947.0,,,,,,Youth Board (DYCD),
