Name,NameAlphabetized,OperationalStatus,PreliminaryOrganizationType,Description,URL,ParentOrganization,NYCReportingLine,AuthorizingAuthority,LegalCitation,LegalCitationURL,LegalCitationText,LegalName,AlternateNames,Acronym,AlternateAcronyms,BudgetCode,PrincipalOfficerName,PrincipalOfficerTitle,OpenDatasetsURL,Notes,FoundingYear,SunsetYear,URISlug,DateCreated,DateModified,LastVerifiedDate,Name - NYC.gov Agency List,Name - NYC.gov Mayor's Office,Name - NYC Open Data Portal,Name - ODA,Name - CPO,Name - WeGov,Name - Greenbook,Name - Checkbook,NameWithAcronym,NameAlphabetizedWithAcronym,PrincipalOfficerGivenName,PrincipalOfficerFamilyName,NameNormalized,RecordID_x,RecordID_y,HeadOfOrganizationTitle,HeadOfOrganizationURL,Name - NYC.gov Redesign,RecordID,Name - Ops,data_source
Borough Boards,Borough Boards,Active,"Advisory, Oversight, or Regulatory Body",,,,Borough Presidents,New York City Charter,"Chapter 4, Section 85",https://codelibrary.amlegal.com/codes/newyorkcity/latest/NYCcharter/0-0-0-512,"There shall be in each borough a board to be known as the borough board which shall consist of the borough president and the district council members from such borough, and the chairperson of each community board in the borough. The borough president shall be the chairperson of such board, which shall hold public hearings at stated intervals in the borough and report to the council, the mayor and the city planning commission on borough programs and proposed borough capital projects.",,,,,,,,,,1898.0,,borough-boards,2024-07-29,,,,,,,,,,,Borough Boards,Borough Boards,,,borough boards,REC_000011,,,,,REC_000023,,nyc_agencies_export
Borough Historians,Borough Historians,Active,"Advisory, Oversight, or Regulatory Body",,,,Borough Presidents,New York State Law,"Chapter 11-C, Title U, Article 57, Section 57.07",https://www.nysenate.gov/legislation/laws/ACA/57.07,"Local historian; appointment; maintenance of historical edifices. 1. A local historian shall be appointed, as provided in this section, for each city, town or village, except that in a city of over one million inhabitants a local historian shall be appointed for each borough therein instead of for the city at large; and a county historian may be appointed for each county. Such historian shall be appointed as follows: For a city, by the mayor; for a borough, by the borough president; for a town, by the supervisor; for a village, by the mayor; for a county, by the board of supervisors. Such historian shall serve without compensation, unless the governing board of the city, town, village or county for or in which he or she was appointed or in the city of New York, the mayor, shall otherwise provide. In a city having a board of estimate, other than the city of New York, a resolution or ordinance establishing compensation or salary for such historian shall not take effect without the concurrence of such board. Each local government historian shall promote the establishment and improvement of programs for the management and preservation of local government records with enduring value for historical or other research; encourage the coordinated collection and preservation of nongovernmental historical records by libraries, historical societies, and other repositories; and carry out and actively encourage research in such records in order to add to the knowledge, understanding and appreciation of the community's history. The local authorities of the city, town, village or county for which such historian is appointed, may provide the historian with sufficient space in a safe, vault or other fire proof structure for the preservation of historical materials collected. Such local authorities and also the board of supervisors of each of the counties of the state are hereby authorized and empowered to appropriate, raise by tax and expend moneys for historical purposes within their several jurisdictions, including historical edifices, the erection of historical markers and monuments, the collection of war mementos, and, either alone or in cooperation with patriotic or historical organizations, the preparation and publication of local histories and records and the printing and issuing of other historical materials in aid of the work of the local historian.",,,,,,,,,,,,borough-historians,2024-07-29,,,,,,,,,Borough Historians,,Borough Historians,Borough Historians,,,borough historians,REC_000012,,,,,REC_000024,,nyc_agencies_export
Borough Historical Societies,Borough Historical Societies,Active,Non-Governmental Organization,,,,,New York State Law,,,,,,,,,,,,,,,borough-historical-societies,2024-07-29,,,,,,,,,Borough Historical Societies,,Borough Historical Societies,Borough Historical Societies,,,borough historical societies,REC_000013,,,,,REC_000025,,nyc_agencies_export
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,borough president bronx,,REC_000009,Borough President- Bronx,https://bronxboropres.nyc.gov/,Borough President- Bronx,REC_000026,,nyc_gov
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,borough president brooklyn,,REC_000010,Borough President- Brooklyn,https://www.brooklynbp.nyc.gov/,Borough President- Brooklyn,REC_000027,,nyc_gov
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,borough president manhattan,,REC_000011,Borough President- Manhattan,https://www.manhattanbp.nyc.gov/,Borough President- Manhattan,REC_000028,,nyc_gov
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,borough president queens,,REC_000012,Borough President- Queens,https://www.queensbp.nyc.gov/,Borough President- Queens,REC_000029,,nyc_gov
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,borough president staten island,,REC_000013,Borough President- Staten Island,https://www.statenislandusa.com/,Borough President- Staten Island,REC_000030,,nyc_gov
Borough Presidents,Borough Presidents,Active,Elected Office,The Borough Presidents are the executive officials of each borough. The City Charter gives them authority to: work with the Mayor in preparing the annual executive budget submitted to the City Council and to propose borough budget priorities directly to the council; review and comment on major land use decisions and propose sites for city facilities within their respective boroughs; monitor and modify the delivery of city services within their boroughs; and engage in strategic planning for their boroughs.,https://www.nyc.gov/nyc-resources/about-the-city-of-new-york.page,,The People of the City of New York,New York City Charter,"Chapter 4, Section 81",https://codelibrary.amlegal.com/codes/newyorkcity/latest/NYCcharter/0-0-0-473,"There shall be a president of each borough, who shall be a resident thereof at the time of election and remain a resident thereof throughout the term of office.",,,,,,,,,,1898.0,,borough-presidents,2024-07-29,,,,,,,,,,,Borough Presidents,Borough Presidents,,,borough presidents,REC_000249,,,,,REC_000031,,nyc_agencies_export
Brooklyn Bridge Park Corporation,Brooklyn Bridge Park Corporation,Active,Authority or Public Benefit Corporation,,https://brooklynbridgepark.org/about/brooklyn-bridge-park-corporation/,,,MOU,Memorandum of Understanding by and between the State of New York and the City of New York regarding Brooklyn Bridge Park,https://www.brooklynbridgepark.org/wp-content/uploads/2020/10/FEIS_Appendix-A.-Memorandum-of-Understanding.pdf,,,,BBPC,,,,,,,2010.0,,brooklyn-bridge-park-corporation,2024-07-29,,,,,,,,,Brooklyn Bridge Park Corporation,,Brooklyn Bridge Park Corporation (BBPC),Brooklyn Bridge Park Corporation (BBPC),,,brooklyn bridge park corporation,REC_000014,,,,,REC_000156,Brooklyn Bridge Park Corporation,ops
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,brooklyn bridge park development corporation,,,,,,REC_000157,Brooklyn Bridge Park Development Corporation,ops
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,brooklyn marine terminal task force,,,,,,REC_000164,Brooklyn Marine Terminal Task Force,ops
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,brooklyn navy yard,,REC_000014,Chief Execuitive Officer ,https://www.brooklynnavyyard.org/,Brooklyn Navy Yard,REC_000032,,nyc_gov
Brooklyn Navy Yard Development Corporation,Brooklyn Navy Yard Development Corporation,Active,Authority or Public Benefit Corporation,"The Brooklyn Navy Yard (the Yard) is a mission-driven industrial park that is a nationally acclaimed model of the viability and positive impact of modern, urban industrial development. The Yard is home to 450+ businesses employing more than 11,000 people and generating over $2.5 billion per year in economic impact for the city. Building on the Yard's history as the economic heart of Brooklyn, the 300-acre waterfront asset offers a critical pathway to the middle class for many New Yorkers.",https://brooklynnavyyard.org/,,,New York State Law,,,,,,BNYDC,,,Lindsay Greene,Chief Executive Officer,,,1981.0,,brooklyn-navy-yard-development-corporation,2024-07-29,,,Brooklyn Navy Yard,Brooklyn Navy Yard,,Brooklyn Navy Yard Development Corporation (BNYDC),,,Brooklyn Navy Yard Development Corporation,,Brooklyn Navy Yard Development Corporation (BNYDC),Brooklyn Navy Yard Development Corporation (BNYDC),Lindsay,Greene,brooklyn navy yard development corporation,REC_000015,,,,,REC_000165,Brooklyn Navy Yard Development Corporation,ops
Brooklyn Public Library,Brooklyn Public Library,Active,Non-Governmental Organization,,https://www.bklynlibrary.org/,,,New York State Law,,,,,,BPL,,38.0,,,https://data.cityofnewyork.us/browse?Dataset-Information_Agency=Brooklyn+Public+Library+%28BPL%29,,1896.0,,brooklyn-public-library,2024-07-29,,,"Brooklyn Public Library (BPL); Library, Brooklyn Public (BPL)","Brooklyn Public Library (BPL); Library, Brooklyn Public (BPL)",Brooklyn Public Library (BPL),Brooklyn Public Library (BPL),,Brooklyn Public Library,Brooklyn Public Library,Brooklyn Public Library,Brooklyn Public Library (BPL),Brooklyn Public Library (BPL),,,brooklyn public library,REC_000016,REC_000015,President & Chief Execuitive Officer ,https://www.bklynlibrary.org/,Brooklyn Public Library (BPL),REC_000033,,nyc_gov
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,brooklyn public library board trustees,,,,,,REC_000168,Brooklyn Public Library Board of Trustees,ops
Office of Building Energy and Emissions Performance,"Building Energy and Emissions Performance, Office of",Active,Division,,,Department of Buildings,Department of Buildings,New York City Charter,"Chapter 26, Section 651",https://codelibrary.amlegal.com/codes/newyorkcity/latest/NYCcharter/0-0-0-5273,"There shall be in the department an office of building energy and emissions performance. The office shall be headed by a director, who is a registered design professional, who shall be appointed by and shall report to the commissioner.",,,,,,,,,,2019.0,,office-of-building-energy-and-emissions-performance,2024-07-29,,,,,,,,,,,Office of Building Energy and Emissions Performance,"Building Energy and Emissions Performance, Office of",,,building office energy and emissions performance,REC_000187,,,,,REC_000034,,nyc_agencies_export
Department of Buildings,"Buildings, Department of",Active,Mayoral Agency,"The Department of Buildings (DOB) ensures the safe and lawful use of over 900,000 buildings and properties by enforcing the Building Code, Zoning Resolution, and other applicable laws. Each year it reviews over 60,000 construction plans, issues over 110,000 new and renewed permits, performs over 300,000 inspections, and issues 12 types of licenses, registrations, and certificates. It facilitates construction by continually streamlining the permit application process, and delivers services with integrity and professionalism.",http://www.nyc.gov/dob,Mayor's Office,Deputy Mayor for Operations,New York City Charter,"Chapter 26, Section 641",https://codelibrary.amlegal.com/codes/newyorkcity/latest/NYCcharter/0-0-0-2232,"There shall be a department of buildings, the head of which shall be the commissioner of buildings. The commissioner or the first deputy commissioner shall be a registered architect or a licensed professional engineer in good standing under the education law.",,,DOB,,810.0,Jimmy Oddo,Commissioner,https://data.cityofnewyork.us/browse?Dataset-Information_Agency=Department+of+Buildings+%28DOB%29,,1892.0,,department-of-buildings,2024-07-29,,,"Buildings, Department of (DOB)","Buildings, Department of (DOB)",Department of Buildings (DOB),Department of Buildings (DOB),Department of Buildings,Department of Buildings,Buildings,Department of Buildings,Department of Buildings (DOB),"Buildings, Department of (DOB)",Jimmy,Oddo,buildings department,REC_000044,REC_000016,Commissioner,https://www.nyc.gov/site/buildings/index.page,"Buildings, Department of (DOB)",REC_000095,Department of Buildings,ops
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,buildnyc,,,,,,REC_000172,BuildNYC,ops
Business Integrity Commission,Business Integrity Commission,Active,"Advisory, Oversight, or Regulatory Body","The Business Integrity Commission is responsible for the regulation of the trade waste industry, the shipboard gambling industry, the Fulton Fish Market distribution area and other seafood distribution areas, and the public wholesale markets. The Commission consists of a full-time chairperson appointed by the Mayor and of the Commissioners of the Departments of Small Business Services, Consumer Affairs, Investigation, Sanitation, and the Police Department.",http://www.nyc.gov/bic,Chief Counsel to the Mayor and City Hall,Chief Counsel to the Mayor and City Hall,New York City Charter,"Chapter 63, Section 2100",https://codelibrary.amlegal.com/codes/newyorkcity/latest/NYCcharter/0-0-0-3867,"There shall be a business integrity commission, which shall consist of a full-time chairperson appointed by the mayor and of the commissioners of the department of small business services, the department of consumer and worker protection, the department of investigation, the police department and the department of sanitation, or their designees.",,,BIC,,829.0,Elizabeth Crotty,Commissioner/Chair,https://data.cityofnewyork.us/browse?Dataset-Information_Agency=Business+Integrity+Commission+%28BIC%29,,2002.0,,business-integrity-commission,2024-07-29,,,Business Integrity Commission (BIC),Business Integrity Commission (BIC),Business Integrity Commission (BIC),Business Integrity Commission (BIC),Business Integrity Commission,Business Integrity Commission,Business Integrity Commission,Business Integrity Commission,Business Integrity Commission (BIC),Business Integrity Commission (BIC),Elizabeth,Crotty,business integrity commission,REC_000017,REC_000017,Commissioner/Chair,https://www.nyc.gov/site/bic/index.page,Business Integrity Commission (BIC),REC_000163,Business Integrity Commission,ops
